id,Price
300000,86.28779
300001,38.26176
300002,136.15481
300003,75.44318
300004,132.14453
300005,47.82741
300006,96.68455
300007,101.96428
300008,140.4805
300009,146.25767
300010,117.89219
300011,124.11281
300012,48.40226
300013,68.65557
300014,22.57377
300015,23.68233
300016,35.00291
300017,88.6994
300018,87.02228
300019,96.1923
300020,108.25812
300021,123.2645
300022,83.06738
300023,68.24736
300024,148.31636
300025,114.71122
300026,137.86399
300027,111.11796
300028,143.92722
300029,26.28584
300030,73.59777
300031,55.12126
300032,15.77416
300033,77.32461
300034,141.9871
300035,99.97691
300036,150.0
300037,108.86215
300038,141.4968
300039,150.0
300040,140.86699
300041,97.76103
300042,97.01134
300043,28.98236
300044,87.01542
300045,143.81746
300046,110.99364
300047,66.97459
300048,97.5538
300049,108.62444
300050,82.081
300051,105.64805
300052,28.77582
300053,131.7932
300054,78.83639
300055,101.82796
300056,107.05929
300057,44.36191
300058,47.73914
300059,132.04244
300060,107.18998
300061,96.13519
300062,97.96277
300063,84.81696
300064,125.61368
300065,40.54687
300066,86.97424
300067,76.28481
300068,99.79729
300069,38.62428
300070,43.97821
300071,150.0
300072,119.17583
300073,30.28203
300074,69.85418
300075,150.0
300076,55.84905
300077,77.93309
300078,33.6589
300079,19.19585
300080,45.66065
300081,44.21344
300082,43.04507
300083,20.98621
300084,129.84907
300085,32.34502
300086,29.63586
300087,51.94157
300088,120.0321
300089,77.82115
300090,150.0
300091,41.03031
300092,126.3474
300093,150.0
300094,133.36913
300095,134.13529
300096,68.22081
300097,78.83639
300098,150.0
300099,47.78249
300100,129.35352
300101,26.06818
300102,26.06578
300103,47.0596
300104,117.54285
300105,124.89249
300106,77.94617
300107,117.07224
300108,29.65946
300109,120.36804
300110,128.92424
300111,33.39183
300112,120.0135
300113,73.83816
300114,74.61125
300115,46.11888
300116,20.10457
300117,146.54052
300118,29.81271
300119,129.15079
300120,116.31579
300121,60.33179
300122,67.28521
300123,122.9495
300124,21.53746
300125,46.12801
300126,16.14304
300127,136.08222
300128,141.69523
300129,71.25127
300130,146.28371
300131,29.69124
300132,24.31064
300133,19.72049
300134,122.02761
300135,102.54476
300136,91.31839
300137,43.85131
300138,30.80094
300139,78.93463
300140,20.12721
300141,139.44826
300142,150.0
300143,142.34965
300144,66.74374
300145,85.2534
300146,39.67067
300147,40.98903
300148,54.06914
300149,90.95508
300150,47.1316
300151,125.52836
300152,120.70829
300153,48.01482
300154,81.4284
300155,26.41207
300156,104.17746
300157,102.38148
300158,15.16773
300159,132.92294
300160,109.53136
300161,51.66076
300162,21.0495
300163,49.44212
300164,84.00416
300165,19.35647
300166,17.30809
300167,94.44368
300168,112.75423
300169,35.6264
300170,23.40789
300171,45.38341
300172,56.95169
300173,64.67145
300174,70.8719
300175,114.88082
300176,124.53843
300177,91.37304
300178,128.85276
300179,26.96466
300180,122.33524
300181,88.90032
300182,17.28127
300183,28.10828
300184,76.09313
300185,32.46901
300186,48.91419
300187,95.56137
300188,30.73319
300189,141.43959
300190,57.39202
300191,76.3146
300192,94.34999
300193,87.76566
300194,54.78715
300195,105.6898
300196,81.50123
300197,23.50071
300198,39.53783
300199,19.75592
300200,106.82116
300201,139.3562
300202,114.08637
300203,135.33436
300204,108.34838
300205,89.39229
300206,131.47742
300207,79.73971
300208,53.69591
300209,46.16937
300210,128.47258
300211,85.53307
300212,92.7447
300213,101.26596
300214,149.31649
300215,77.193
